landmark_id,x_norm,y_norm,z_norm,x_px,y_px,z_approx_px
246,0.2814544439315796,0.46520930528640747,-0.06131361052393913,63,104,-13
247,0.2617919445037842,0.44904422760009766,-0.06562386453151703,58,100,-14
248,0.5775051712989807,0.5543637871742249,-0.10733854025602341,129,124,-24
249,0.6643654108047485,0.4527779519557953,0.08737330138683319,148,101,19
250,0.5839350819587708,0.6624162197113037,-0.08064991235733032,130,148,-18
251,0.6874236464500427,0.32603055238723755,0.22992198169231415,153,73,51
252,0.5980640649795532,0.483040988445282,0.036453671753406525,133,108,8
253,0.6212825775146484,0.4841919541358948,0.048121511936187744,139,108,10
254,0.6431283950805664,0.481383740901947,0.06390132755041122,144,107,14
255,0.666184663772583,0.46056079864501953,0.09694008529186249,149,103,21
256,0.5804524421691895,0.47733184695243835,0.027877941727638245,130,106,6
257,0.637643575668335,0.4058956503868103,0.03060481883585453,142,90,6
258,0.610144853591919,0.41062691807746887,0.017707722261548042,136,91,3
259,0.6609237194061279,0.4077354669570923,0.04968515783548355,148,91,11
260,0.6731318235397339,0.41638505458831787,0.06751979887485504,150,93,15
261,0.6772876977920532,0.4774218201637268,0.11758959293365479,151,106,26
262,0.5898727774620056,0.8673463463783264,0.08675280958414078,132,194,19
263,0.6699418425559998,0.44386446475982666,0.09867089986801147,150,99,22
264,0.6818717122077942,0.44545978307724,0.2626035511493683,152,99,58
265,0.6863968968391418,0.4521024227142334,0.15168747305870056,153,101,33
266,0.6359856128692627,0.6068388819694519,0.029594609513878822,142,135,6
267,0.5814472436904907,0.7414113283157349,-0.04673462361097336,130,166,-10
268,0.5696450471878052,0.7749589085578918,-0.031153695657849312,127,173,-6
269,0.6027316451072693,0.7441387176513672,-0.016529947519302368,135,166,-3
270,0.6111589670181274,0.7526394128799438,0.01440186146646738,136,168,3
271,0.5848647356033325,0.7718236446380615,-0.01001239288598299,131,172,-2
272,0.5938481092453003,0.7720094323158264,0.017020098865032196,133,172,3
273,0.6194155216217041,0.7910523414611816,0.07747139036655426,138,177,17
274,0.5974972248077393,0.6510317325592041,-0.13139373064041138,133,145,-29
275,0.6019848585128784,0.6236380934715271,-0.1415267288684845,134,139,-31
276,0.6979125142097473,0.38770657777786255,0.0827009305357933,156,86,18
277,0.5891909003257751,0.53732830286026,-0.0018089235527440906,131,120,0
278,0.6245118379592896,0.631119430065155,-0.04400469362735748,139,141,-9
279,0.619956910610199,0.6145471930503845,-0.03671276196837425,138,137,-8
280,0.6820603609085083,0.5927702188491821,0.09278244525194168,152,132,20
281,0.5919027328491211,0.5864436030387878,-0.1283566802740097,132,131,-28
282,0.6660637259483337,0.3677813410758972,0.0049649691209197044,149,82,1
283,0.6885324716567993,0.372006356716156,0.04241844639182091,154,83,9
284,0.6869951486587524,0.28120458126068115,0.15982051193714142,153,62,35
285,0.573978841304779,0.39827853441238403,-0.05535697191953659,128,89,-12
